email,first_name,last_name
aaronmitchell@yahoo.ca,Aaron,Mitchell
alero@uol.com.br,Alexandre,Rocha
astrid.gruber@apple.at,Astrid,Gruber
bjorn.hansen@yahoo.no,BjÃ¸rn,Hansen
camille.bernard@yahoo.fr,Camille,Bernard
daan_peeters@apple.be,Daan,Peeters
diego.gutierrez@yahoo.ar,Diego,GutiÃ©rrez
dmiller@comcast.com,Dan,Miller
dominiquelefebvre@gmail.com,Dominique,Lefebvre
edfrancis@yachoo.ca,Edward,Francis
eduardo@woodstock.com.br,Eduardo,Martins
ellie.sullivan@shaw.ca,Ellie,Sullivan
emma_jones@hotmail.com,Emma,Jones
enrique_munoz@yahoo.es,Enrique,MuÃ±oz
fernadaramos4@uol.com.br,Fernanda,Ramos
fharris@google.com,Frank,Harris
fralston@gmail.com,Frank,Ralston
frantisekw@jetbrains.com,FrantiÅ¡ek,WichterlovÃ¡
ftremblay@gmail.com,FranÃ§ois,Tremblay
fzimmermann@yahoo.de,Fynn,Zimmermann
hannah.schneider@yahoo.de,Hannah,Schneider
hholy@gmail.com,Helena,HolÃ½
hleacock@gmail.com,Heather,Leacock
hughoreilly@apple.ie,Hugh,O'Reilly
isabelle_mercier@apple.fr,Isabelle,Mercier
jacksmith@microsoft.com,Jack,Smith
jenniferp@rogers.ca,Jennifer,Peterson
jfernandes@yahoo.pt,JoÃ£o,Fernandes
joakim.johansson@yahoo.se,Joakim,Johansson
johavanderberg@yahoo.nl,Johannes,"Van der Berg"
johngordon22@yahoo.com,John,Gordon
jubarnett@gmail.com,Julia,Barnett
kachase@hotmail.com,Kathy,Chase
kara.nielsen@jubii.dk,Kara,Nielsen
ladislav_kovacs@apple.hu,Ladislav,KovÃ¡cs
leonekohler@surfeu.de,Leonie,KÃ¶hler
lucas.mancini@yahoo.it,Lucas,Mancini
luisg@embraer.com.br,LuÃ­s,GonÃ§alves
luisrojas@yahoo.cl,Luis,Rojas
manoj.pareek@rediff.com,Manoj,Pareek
marc.dubois@hotmail.com,Marc,Dubois
mark.taylor@yahoo.au,Mark,Taylor
marthasilk@gmail.com,Martha,Silk
masampaio@sapo.pt,Madalena,Sampaio
mphilips12@shaw.ca,Mark,Philips
nschroder@surfeu.de,Niklas,SchrÃ¶der
patrick.gray@aol.com,Patrick,Gray
phil.hughes@gmail.com,Phil,Hughes
ricunningham@hotmail.com,Richard,Cunningham
rishabh_mishra@yahoo.in,Rishabh,Mishra
robbrown@shaw.ca,Robert,Brown
roberto.almeida@riotur.gov.br,Roberto,Almeida
stanisÅ‚aw.wÃ³jcik@wp.pl,StanisÅ‚aw,WÃ³jcik
steve.murray@yahoo.uk,Steve,Murray
terhi.hamalainen@apple.fi,Terhi,HÃ¤mÃ¤lÃ¤inen
tgoyer@apple.com,Tim,Goyer
vstevens@yahoo.com,Victor,Stevens
wyatt.girard@yahoo.fr,Wyatt,Girard
